,count,mean,std,min,25%,50%,75%,max
pr,2949030.0,2.845223934855312e-05,6.590918201254681e-05,0.0,1.494164898474537e-07,3.5698761848834693e-06,2.4117704469972523e-05,0.0019546495750546455
pr,2663640.0,2.6461815650691278e-05,6.321176624624059e-05,0.0,1.0205237188642968e-07,2.837123702192912e-06,2.1770170860690996e-05,0.0017331818817183375
pr,2949030.0,2.267047602799721e-05,5.691985279554501e-05,0.0,7.502395327207978e-08,2.20998208533274e-06,1.734600800773478e-05,0.0019353831885382533
pr,2853900.0,1.9821116438833997e-05,5.189906732994132e-05,0.0,6.855621492718456e-08,1.9825534991468885e-06,1.4093245681578992e-05,0.002313162200152874
pr,2949030.0,1.8990655007655732e-05,4.775200068252161e-05,0.0,1.229828896498475e-07,2.492999442438304e-06,1.4260810075938934e-05,0.002237987006083131
pr,2853900.0,1.9512521248543635e-05,4.489441562327556e-05,0.0,2.648624857215509e-07,3.493684971545008e-06,1.7466017652623123e-05,0.0025808580685406923
pr,2949030.0,1.969826189451851e-05,4.542492752079852e-05,0.0,3.339904139920691e-07,3.996711939180386e-06,1.796348806237802e-05,0.0022769118659198284
pr,2949030.0,2.173768552893307e-05,4.851313497056253e-05,0.0,4.713964969482731e-07,4.489376351557439e-06,1.9760234408749966e-05,0.0023603884037584066
pr,2853900.0,2.5486264348728582e-05,5.396171400207095e-05,0.0,4.0817973712137245e-07,4.4674400214717025e-06,2.292306771778385e-05,0.001851648441515863
pr,2949030.0,2.8702568670269102e-05,6.0874783230246976e-05,0.0,2.477867866446104e-07,4.222447842039401e-06,2.619470751596964e-05,0.0023154171649366617
pr,2853900.0,2.9230079235276207e-05,6.369512993842363e-05,0.0,2.4906340456709586e-07,4.26086285187921e-06,2.642318258949672e-05,0.002297822153195739
pr,2949030.0,2.916014454967808e-05,6.58485441817902e-05,0.0,2.2250093323350484e-07,4.141872523177881e-06,2.540803143347148e-05,0.002040170133113861
