,count,mean,std,min,25%,50%,75%,max
tas,2949030.0,274.4364013671875,16.9678955078125,215.4478302001953,264.5124816894531,277.9119873046875,289.9021911621094,305.4981994628906
tas,2663640.0,274.81097412109375,16.877355575561523,214.00379943847656,264.7813949584961,278.56488037109375,289.764404296875,307.5270690917969
tas,2949030.0,276.7379455566406,15.23000431060791,220.08387756347656,268.0880432128906,279.9581298828125,290.38818359375,311.0379333496094
tas,2853900.0,280.545166015625,12.559441566467285,232.2305450439453,272.9932174682617,282.67286682128906,292.1816101074219,312.8642272949219
tas,2949030.0,286.8804016113281,10.247092247009277,247.7577667236328,278.768310546875,287.15179443359375,294.97188568115234,316.8447570800781
tas,2853900.0,294.5559387207031,9.353723526000977,261.34332275390625,285.1325988769531,292.1198272705078,298.3981399536133,320.5445556640625
tas,2949030.0,299.74212646484375,9.315482139587402,269.26849365234375,289.1180419921875,295.0584259033203,300.7164611816406,322.3647155761719
tas,2949030.0,298.73602294921875,9.065068244934082,268.83709716796875,288.609375,294.938232421875,300.4572448730469,322.0751037597656
tas,2853900.0,293.321533203125,9.618276596069336,253.39950561523438,283.47308349609375,292.2184753417969,298.557373046875,318.7023620605469
tas,2949030.0,286.59588623046875,11.29025650024414,236.47372436523438,277.0728759765625,287.0438232421875,295.9774703979492,314.0328369140625
tas,2853900.0,280.1855163574219,13.800514221191406,223.72764587402344,271.8868103027344,281.86976623535156,293.151123046875,309.6866760253906
tas,2949030.0,276.1980285644531,15.635794639587402,218.0949249267578,267.35648345947266,278.6966247558594,290.9447937011719,305.73211669921875
