,count,mean,std,min,25%,50%,75%,max
zg,2949030.0,5500.4370654958675,255.08315479413392,4823.1337890625,5278.650390625,5498.47998046875,5741.26708984375,5986.6650390625
zg,2663640.0,5488.941792968955,250.81545643298816,4823.1337890625,5274.619140625,5486.8486328125,5722.72265625,5959.22998046875
zg,2949030.0,5502.319986426317,242.14672450714707,4823.1337890625,5297.087158203125,5502.587890625,5726.052734375,5959.22998046875
zg,2853900.0,5514.8620427925935,233.03148589330434,4948.71826171875,5318.1328125,5514.7646484375,5729.01171875,5957.7734375
zg,2949030.0,5591.8191597434425,220.87279509855304,4948.71826171875,5423.55908203125,5606.9677734375,5789.533203125,6004.322265625
zg,2853900.0,5663.966456884863,181.25494960054823,5183.5107421875,5505.58837890625,5680.78173828125,5828.158203125,6004.322265625
zg,2949030.0,5748.0883330028155,179.38763194397475,5183.5107421875,5618.2041015625,5788.1708984375,5892.91162109375,6101.47900390625
zg,2949030.0,5822.476942502632,141.78058682588258,5337.072265625,5716.59326171875,5862.7802734375,5929.7626953125,6101.47900390625
zg,2853900.0,5818.281021226915,146.23391406562854,5337.072265625,5706.8408203125,5862.11083984375,5929.90673828125,6090.50439453125
zg,2949030.0,5730.620822764941,210.67896007069004,5094.6083984375,5587.56103515625,5796.8828125,5897.09423828125,6090.50439453125
zg,2853900.0,5648.439386706842,228.01639919489696,5094.6083984375,5436.08642578125,5700.94091796875,5854.9169921875,6005.74365234375
zg,2949030.0,5578.907957916592,253.44885560041848,4925.7138671875,5357.6572265625,5601.75244140625,5818.94482421875,6005.74365234375
